Name,Slot,Description,View Desc,Price,1/2 Price,Upgrade,CL,Weight (lb),Strength,School,Crafting Feat,Spells Needed,Other Reqs,Base Crafting DC, Num Req,Source,URL,Notes
Pipes of Sounding,Slotless,"When played by a character who has the Perform (wind instruments) skill, these shiny metallic pan pipes create a variety of sounds. The figment sounds are the equivalent of ghost sound.",No,"1,800 ",900 ,-,2,3,Faint,Illusion,Craft Wondrous Item,Ghost Sound,-,12,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pipes-of-sounding,
Pipes of the Sewers,Slotless,"If the possessor learns the proper tune, he can use these pipes to attract 1d3 rat swarms if rats are within 400 feet. For each 50-foot distance the rats have to travel, there is a 1-round delay. The piper must continue playing until the rats appear, and when they do so, the piper must make a DC 10 Perform (wind instruments) check. Success means that they obey the piper's telepathic commands so long as he continues to play. Failure indicates that they turn on the piper. If for any reason the piper ceases playing, the rats leave immediately. The Perform DC increases by +5 for each time the rats have been successfully called in a 24-hour period. If the rats are under the control of another creature, add the HD of the controller to the Perform check DC. Once control is assumed, another check is required each round to maintain it if the other creature is actively seeking to reassert its control.",No,"1,150 ",575 ,-,2,3,Faint,Conjuration,Craft Wondrous Item,Charm Animal + Summon Nature's Ally I + Wild Empathy,-,22,3,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pipes-of-the-sewers,
Pipes of the Warren Guardian,Slotless,"These finely crafted yellow-ivory pipes are bound in bronze and decorated with bits of amber. If the possessor learns the proper tune, once per day he can use these pipes to summon 1d4+1 dire rats as if using summon monster III. The summoned dire rats also have the swarming racial trait, and count as ratfolk for the purposes of the ratfolk's swarming racial trait.",No,"6,000 ","3,000 ",-,5,0,Faint,Conjuration,Craft Wondrous Item,Summon Monster III,-,15,1,PRG: Advanced Race Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pipes-of-the-warren-guardian,
Pirate Queen's Bones,Slotless,"Named for the goddess of piracy, strife, and sea monsters, this figurehead must be mounted on the prow of a ship function. Once per day, a ship carrying the Pirate Queen's Bones can inflict a curse on an enemy ship struck with a successful ramming attack. The target ship must succeed at a DC 14 Will save or its pilot takes a –4 penalty on Profession (sailor) checks to control the ship. In addition, the cursed ship can never gain the upper hand in ship-to-ship combat. The curse inflicted by the figurehead cannot be dispelled, but it can be removed with a break enchantment, limited wish, miracle, remove curse, or wish spell. In addition, once per day, Pirate Queen's Bones can be used to cast false life (CL 5th) on the captain of the ship carrying the figurehead. A ship may not have more than one figurehead, magical or otherwise, mounted on it at one time..",No,"10,800 ","5,400 ",-,5,300,Faint,Necromancy,Craft Wondrous Item,Bestow Curse + False Life,-,20,2,PAP 56: Raiders of the Fever Sea,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pirate-queen-s-bones,
Pirate Queen's Tricorne,Head,"This black leather tricorne hat is weather-beaten and salt-stained. *Note* This item has a direct association with a specific deity. It grants its wearer a +2 competence bonus on Profession (sailor) and Swim checks. If the hat's associated deity is your patron, once per day you can speak a command word to transform the hat into a small ship's boat such as a cutter, jolly boat, or longboat. The boat is 20 feet long, has two pairs of oars and a single mast with a square sail, and can carry up to 12 passengers and crew. Upon command, or after 8 hours, the boat returns to hat form, dumping out any occupants.",No,"2,600 ","1,300 ",-,5,1,Faint,Transmutation,Craft Wondrous Item,Guidance + Shrink Item,(Skill) Profession (Sailor) 5,25,3,PAP 55: The Wormwood Mutiny,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pirate-queen-s-tricorne,
Player's Prize,Slotless,"This tiny copper statue of a featureless, dancing humanoid is sometimes awarded to the winners of contests. The power of a player's prize comes not from possessing it, however, but from giving it to an unsuspecting audience member. By inscribing a personal rune on his player's prize, a bard can cause whoever carries the item (knowingly or not) to be more susceptible to his bardic performances. Once inscribed, a player's prize can not be keyed to any other creature. Devious bards use Sleight of Hand to drop their player's prize on rivals' or foes' persons, usually in a backpack or in among other gear where it would be difficult to locate. A creature carrying a player's prize keyed to a bard within 30 feet takes a –2 penalty on Will saves against that bard's bardic performances, as well as a –2 penalty on opposed skill checks against any skill checks the bard attempts using his versatile performance class feature. These penalties remain as long as the affected creature continues to carry the player's prize. Once per day as an immediate action, the character whose personal rune is inscribed on the player's prize can speak the item's command word to cause the statue to instantly appear in his hand. The character must be within 30 feet of the player's prize to activate this ability.",No,"3,000 ","1,500 ",-,5,1,Moderate,Necromancy,Craft Wondrous Item,Bestow Curse + Telekinesis,-,20,2,PPC: People of the River,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/player-s-prize,* 2x entry
Plume of Panache,Head,"This plume is over-sized, chic, and extravagant. To gain its effects, the user must affix it to a non-magical hat worth at least 10 gp. Once per day when the wearer performs a deed, the plume provides her with 1 panache point that can be used for that deed. Once used, the plume appears wilted and bedraggled until its magic is replenished.",No,"1,000 ",500 ,-,5,0,Faint,Transmutation,Craft Wondrous Item,Heroism,-,15,1,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/plume-of-panache,
Poison Popcushion,Slotless,"This squishy, gel-filled sack is the size of a fist, and its exterior is covered with countless tiny metal studs. When set on the ground or somewhere else within line of sight, a poison popcushion can be targeted with a melee or ranged attack (hardness 0, AC 7). A successful attack causes the poison popcushion to explode, sending a spray of needles everywhere within a 10-foot-radius burst and dealing 1d4+1 points of piercing damage to creatures caught in the area each round for 1d3 rounds. A successful DC 13 Reflex save halves this damage. Additionally, a poison popcushion can be loaded with an injury poison before it is placed. Fully loading a poison popcushion takes 3 doses of poison (not included in the price). In addition to dealing damage, a loaded poison popcushion affects struck creatures with the poison stored within, though the Fortitude save DC to save against this poison is 4 lower than the poison's usual DC.",No,700 ,350 ,-,3,2,Faint,Conjuration,Craft Wondrous Item,Arrow Eruption,-,13,1,PPC: Magical Marketplace,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/poison-popcushion,
Poison Vial of Distance,Slotless,"Favored by assassins, this magical vial allows the application of poisons at a range of up to 30 feet. The poison must be supplied, and must be a contact or ingested poison. The user adds the poison to the vial and then shakes it in the direction of the item or creature she wishes to affect, making a ranged touch attack (a poison vial of distance provides a +4 circumstance bonus on this roll). If the attack is successful, the poison is successfully delivered to the object or creature intended.",No,"3,000 ","1,500 ",-,3,1,Faint,Necromancy,Craft Wondrous Item,Mage Hand,-,13,1,PPC: Magical Marketplace,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/poison-vial-of-distance,
Polish of Inconspicuous Armor,Slotless,"This pungent, tar-black armor polish comes in a small circular tin. One dose is enough to apply to a single Medium suit of armor or two Small suits of armor. Applying the polish takes 10 minutes, during which time the user must visualize a normal set of clothes or another set of armor—an alternative appearance for the armor to take on. After it is applied, the polish's noxious scent dissipates and the armor appears in the way the user visualized, as the glamered magic armor special ability. The armor maintains all properties other than its physical appearance, including weight, armor check penalty, and maximum Dexterity bonus. This effect remains for 24 hours before wearing off.",No,750 ,375 ,-,5,0.5,Strong,Conjuration,Craft Wondrous Item,Disguise Self,-,15,1,PPC: Pathfinder Society Primer,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/polish-of-inconspicuous-armor,
Polymorphic Pouch,Slotless,"This leather pouch is usually decorated with a druidic motif. Within is an extradimensional space that can hold 4 cubic feet or 40 pounds worth of items and otherwise functions as a small bag of holding. If the bearer uses a polymorph effect or wild shape to transform into an animal, dragon, elemental, magical beast, plant, or vermin, the pouch never merges with her body. It automatically relocates to an easily-accessible place on her body (such as on a belt or a cord around her neck), allowing her to access the pouch and items within it while she is transformed.",No,"5,000 ","2,500 ",-,9,1,Moderate,Transmutation,Craft Wondrous Item,Polymorph + Secret Chest,-,24,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/polymorphic-pouch,
Cloak of Disarming,Shoulders,"This cloak is well crafted and stylish. As a swift action, the wearer can direct the cloak to attempt a combat maneuver check to disarm a creature within 5 feet, using the wearer's CMB. This disarm combat maneuver does not provoke attacks of opportunity. If the attempt fails, the wearer doesn't risk losing the cloak. The wearer can spend 1 panache point before making the disarm attempt to gain a +5 competence bonus on the combat maneuver check.",No,"35,000 ","17,500 ",-,9,1,Moderate,Transmutation,Craft Wondrous Item,Pilfering Hand,(Feat) Improved Disarm + (Misc) must be a Panache user,29,3,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/c-d/cloak-of-disarming,
Portable Hole,Slotless,"A portable hole is a circle of cloth spun from the webs of a phase spider interwoven with strands of ether and beams of starlight, resulting in a portable extradimensional space. When opened fully, a portable hole is 6 feet in diameter, but it can be folded up to be as small as a pocket handkerchief. When spread upon any surface, it causes an extradimensional space 10 feet deep to come into being. This hole can be picked up from inside or out by simply taking hold of the edges of the cloth and folding it up. Either way, the entrance disappears, but anything inside the hole remains, traveling with the item. The only air in the hole is that which enters when the hole is opened. It contains enough air to supply one Medium creature or two Small creatures for 10 minutes. The cloth does not accumulate weight even if its hole is filled. Each portable hole opens on its own particular nondimensional space. If a bag of holding is placed within a portable hole, a rift to the Astral Plane is torn in that place. Both the bag and the cloth are sucked into the void and forever lost. If a portable hole is placed within a bag of holding, it opens a gate to the Astral Plane. The hole, the bag, and any creatures within a 10-foot radius are drawn there, the portable hole and bag of holding being destroyed in the process. Editor's Note: Portable hole uses the terms 'nondimensional' and 'extradimensional' interchangeably which suggests they are just different terms for the same concept.",No,"20,000 ","10,000 ",-,12,0,Strong,Conjuration,Craft Wondrous Item,Plane Shift,-,22,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/portable-hole,
"Pouch, Pathfinder",Slotless,"This nondescript belt pouch is quite popular among those who need to smuggle items past snooping guards or government officials. Detect magic does not detect that it is magical (as per the bag of holding (contents limit 10 pounds, volume limit 2 cubic feet). With a command word, the wearer can close or open the extradimensional space within the pouch; when closed, the pouch holds no more than a mundane belt pouch the size of a human fist, though objects within the extradimensional space remain stored, unreachable until the pouch is unsealed again. This allows the user to empty his pockets or even turn the pouch inside-out to prove he carries no contraband, and access the hidden goods later when in a safe place. Because of their nonmagical auras, these pouches sometimes hold secret treasures for generations without their owners realizing their nature.",No,"1,000 ",500 ,-,9,1,-,-,Craft Wondrous Item,Magic Aura + Secret Chest,-,24,2,PC: Seekers of Secrets,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pathfinder-pouch,
"Powder, Firefoot",Slotless,"This bright red powder contains a mixture of rare herbs and black salt. One dose of fire foot powder is enough powder to spread over two 5-foot squares, usually around doorways. The first creature to enter a powdered square must succeed on a DC 14 Fortitude save or immediately become overwhelmed by waves of fiery pain as if its legs and feet were being burned to ashes. The victim takes 1d6 points of nonlethal damage per round for 5 rounds, during which time it is also sickened.",No,"1,000 ",500 ,-,5,0,Faint,Necromancy,Craft Wondrous Item,Pain Strike,-,15,1,PCS: Rival Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/powder-firefoot,
Prayer Wheel of Ethical Strength,Slotless,"Sacred or profane mantras cover the outer face of this cylindrical wooden block, which rotates around a decorative brass spindle. By holding the spindle in one hand while meditating or resting to regain ki, the bearer may attune his ki points to the wheel. Once attuned, the bearer's ki strikes count as good (if the wheel has sacred mantras) or evil (if the wheel has profane mantras) instead of lawful for the purpose of overcoming damage reduction. This lasts until the next time the bearer rests or meditates to regain ki points. A creature can only be attuned to one prayer wheel at a time, and a prayer wheel can only be attuned to one person at a time. Only creatures who can make lawfully-aligned ki strikes can use a prayer wheel.",No,"10,000 ","5,000 ",-,5,3,Faint,Transmutation,Craft Wondrous Item,Align Weapon,-,15,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/prayer-wheel-of-ethical-strength,
Preserving Flask +1,Slotless,"This small, durable flask is designed to preserve 1st level alchemical extracts indefinitely. An extract stored in a preserving flask remains potent until it is consumed or otherwise removed from the flask. Preserved extracts count against an alchemist's extracts per day on the day they are prepared, but not on subsequent days. An extract stored in the flask retains duration, caster level, and other properties it had when it was created. The flask works on extracts and infusions, but not mutagens.",No,"1,000 ",500 ,Preserving Flask +2,17,0,Strong,Abjuration,Craft Wondrous Item,-,(Misc) able to create 1st level alchemical extracts,27,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preserving-flask,
Preserving Flask +2,Slotless,"This small, durable flask is designed to preserve 2nd level alchemical extracts indefinitely. An extract stored in a preserving flask remains potent until it is consumed or otherwise removed from the flask. Preserved extracts count against an alchemist's extracts per day on the day they are prepared, but not on subsequent days. An extract stored in the flask retains duration, caster level, and other properties it had when it was created. The flask works on extracts and infusions, but not mutagens.",No,"4,000 ","2,000 ",Preserving Flask +3,17,0,Strong,Abjuration,Craft Wondrous Item,-,(Misc) able to create 2nd level alchemical extracts,27,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preserving-flask,
Preserving Flask +3,Slotless,"This small, durable flask is designed to preserve 3rd level alchemical extracts indefinitely. An extract stored in a preserving flask remains potent until it is consumed or otherwise removed from the flask. Preserved extracts count against an alchemist's extracts per day on the day they are prepared, but not on subsequent days. An extract stored in the flask retains duration, caster level, and other properties it had when it was created. The flask works on extracts and infusions, but not mutagens.",No,"9,000 ","4,500 ",Preserving Flask +4,17,0,Strong,Abjuration,Craft Wondrous Item,-,(Misc) able to create 3rd level alchemical extracts,27,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preserving-flask,
Preserving Flask +4,Slotless,"This small, durable flask is designed to preserve 4th level alchemical extracts indefinitely. An extract stored in a preserving flask remains potent until it is consumed or otherwise removed from the flask. Preserved extracts count against an alchemist's extracts per day on the day they are prepared, but not on subsequent days. An extract stored in the flask retains duration, caster level, and other properties it had when it was created. The flask works on extracts and infusions, but not mutagens.",No,"16,000 ","8,000 ",Preserving Flask +5,17,0,Strong,Abjuration,Craft Wondrous Item,-,(Misc) able to create 4th level alchemical extracts,27,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preserving-flask,
Preserving Flask +5,Slotless,"This small, durable flask is designed to preserve 5th level alchemical extracts indefinitely. An extract stored in a preserving flask remains potent until it is consumed or otherwise removed from the flask. Preserved extracts count against an alchemist's extracts per day on the day they are prepared, but not on subsequent days. An extract stored in the flask retains duration, caster level, and other properties it had when it was created. The flask works on extracts and infusions, but not mutagens.",No,"25,000 ","12,500 ",Preserving Flask +6,17,0,Strong,Abjuration,Craft Wondrous Item,-,(Misc) able to create 5th level alchemical extracts,27,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preserving-flask,
Preserving Flask +6,Slotless,"This small, durable flask is designed to preserve 6th level alchemical extracts indefinitely. An extract stored in a preserving flask remains potent until it is consumed or otherwise removed from the flask. Preserved extracts count against an alchemist's extracts per day on the day they are prepared, but not on subsequent days. An extract stored in the flask retains duration, caster level, and other properties it had when it was created. The flask works on extracts and infusions, but not mutagens.",No,"36,000 ","18,000 ",-,17,0,Strong,Abjuration,Craft Wondrous Item,-,(Misc) able to create 6th level alchemical extracts,27,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preserving-flask,
Pressure Suit,Body + Head,"This magical full-body suit completely protects the wearer from temperature extremes (as if by endure elements) and pressure dangers of hard vacuum and all worlds in the system (save the sun), though it only carries enough air for 3 days before it must be recharged in breathable atmosphere (such as that inside a ship). If the suit’s seal is broken—such as the helmet being removed to eat or drink—all the air escapes in 2d6 rounds. A suit with a broken seal confers only the benefits of endure elements. The suit automatically repairs small holes, but if it is struck by a critical hit from a piercing or slashing weapon, the wearer of the pressure suit must succeed at a Reflex save (DC equal to the opponent’s confirmation roll) or the seal breaks. A suit with a broken seal can be repaired with a DC 18 Craft (armor) check or a make whole spell. The suit does not compensate for changes in gravity. Wearing a pressure suit imposes a –1 armor check penalty; this penalty stacks with those provided by other equipment (such as armor). Since it takes up both the body and helm slots, armor can be worn over a pressure suit, but robes and helms cannot.",No,"4,000 ","2,000 ",-,5,30,Faint,Abjuration,Craft Wondrous Item,Endure Elements + Gust of Wind,-,20,2,PCS: Distant Worlds,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pressure-suit,
Preyfinder,Slotless,"These sturdy brass compasses are often painted blood red and etched with images of wolves, lions, crocodiles, or sharks stalking their prey. Though preyfinders function as standard compasses, making them useful tools for navigation, they also have the power to magically identify and track down creatures. To use a preyfinder, its bearer must (as a standard action) take a drop of blood from a creature, smear it onto the compass's glass faceplate, and then touch the compass to his head. The blood must be no more than 1 week old, and can come from a living or dead creature, though a living or undead target can attempt a DC 18 Will save to resist the preyfinder's tracking ability. If the Will save is successful, the preyfinder can't identify or locate the creature, and none of the preyfinder's magical powers function for 24 hours. If the creature fails the Will save, the preyfinder telepathically provides its bearer with an image of the creature to which the drop of blood belonged and marks the creature as the preyfinder's quarry. After a creature is marked as the preyfinder's quarry, the bearer can spend a standard action to magically divine the creature's current location. As long as the quarry is no more than 100 miles away, the preyfinder provides a series of telepathic images to the bearer, who is then able to determine the direction toward and exact distance to the quarry. This detection ability can be fooled by mislead, nondetection, and polymorph spells and effects. A preyfinder can have only one creature designated as its quarry at any one time. If the bearer adds a new drop of blood, the old quarry is replaced by the new one. The bearer can also spend a full-round action to remove a quarry designation from the preyfinder. When used by a slayer with the studied target class feature, a preyfinder grants the slayer a +1 insight bonus on all attack and damage rolls made against a creature designated as the preyfinder's quarry. Additionally, instead of designating another creature as its quarry, a slayer can add a drop of his own blood to the preyfinder (a standard action) to gain a +2 morale bonus on all attack rolls, saves, and skill checks he attempts for 1 minute. After a slayer adds a drop of his own blood to the preyfinder, none of the preyfinder's magical powers functions for 24 hours.",No,"85,000 ","42,500 ",-,9,0,Moderate,Divination,Craft Wondrous Item,Blood Biography + Heroism + Locate Creature,-,29,3,PRG: Advanced Class Guide,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/preyfinder,
Pull-Ring of Scent,Headband,"This dull brass ring is typically placed in the nose or muzzle, or elsewhere on the head of an animal, and is used to attach a lead rope or bridle. The wearer (and its rider, if any) gives off no scent and cannot be tracked or located by scent. In addition, it gains the scent ability within 30 feet; if the wearer already possesses scent, the range for this sense increases by 30 feet (to a maximum of 60 feet).",No,"11,000 ","5,500 ",-,5,1,Faint,Transmutation,Craft Wondrous Item,Beast Shape I,-,15,1,PPC: Animal Archive,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pull-ring-of-scent,
Pyxes of Redirected Focus,Slotless,"This round metal container is just large enough to contain the wooden, coin-sized token inside. Each side of the token is inscribed with a different prayer. Once per day, a cleric (or other class with cleric domains) may activate the pyxes and may select any one of her prepared domain spells and replace it with the domain spell of that level from her other domain. For example, a cleric with the Fire and Luck domains could switch her 1st-level prepared burning hands domain spell to true strike. The pyxes has no effect on creatures with no domain spells or only one domain.",No,"1,000 ",500 ,-,9,0,Moderate,Transmutation,Craft Wondrous Item,Prayer,-,19,1,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/m-p/pyxes-of-redirected-focus,
Radiant Panel,Slotless,"This small glass cube bears shallow indents carved into each side. Pressing an indentation as a standard action creates a thin sheet of hard light that is 5 feet wide. The sheet covers one edge of a 5-foot square, chosen at activation. While active, the sheet blocks attacks as if it is a solid wall, granting total cover against attacks and spells that pass through this edge. The sheet has hardness 10 and 30 hp. Force effects bypass this sheet, acting normally. The edge chosen can even be a horizontal one, creating a platform that can hold 500 pounds of weight. Once active, the cube anchors itself in place, preventing the sheet from moving. Moving the cube while it is active requires a successful DC 22 Strength check. If the cube moves or if more than 500 pounds of weight is added to the sheet, the sheet shatters, requiring another activation to create a new sheet. Light sheets created by the cube remain for 1 minute and a cube can create up to 5 sheets per day. A sheet can be dismissed as a standard action, expending the full use of that sheet.",No,"12,000 ","6,000 ",-,5,0,Faint,Evocation,Craft Wondrous Item,Floating Disk,-,15,1,PPC: Blood of Shadows,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/radiant-panel,
Ranged Piton,Slotless,"This pointed metallic piton bears a ring the size of a gold piece. A ranged piton is sized and designed so that it can be launched as easily as an arrow. When fired from a bow as a standard action at an object or empty square, the wielder makes a ranged attack against AC 5 to determine whether the piton hits the intended target. Range penalties apply as normal. On a hit, the piton attaches to the point struck, cleaving to vertical and horizontal surfaces alike. An attached ranged piton can be recovered only by speaking a command word while pulling on the piton's ring. Light rope, such as silk rope, can be threaded through the piton's ring before it is fired to rapidly place rope lines.",No,800 ,400 ,-,5,1,Faint,Transmutation,Craft Wondrous Item,Spider Climb,-,15,1,PPC: Ranged Tactics Toolbox,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/ranged-piton,
Resilient Ore,Neck,"This lumpy piece of unforged iron originates from metal that remained cool after smelting, resisting all attempts to forge it into another shape. It is sometimes used as a mace head or as a counterweight to a greatsword or other large weapon. This item is associated with a specific god or goddess. When worn, you gain fire resistance 1 and +1 resistance bonus on Will saving throws. If you are a worshiper of the associated god or goddess, once per day you may use this to cast chill metal. At will, you may use it to mend small metallic items as if using a mending spell.",No,"4,200 ","2,100 ",-,3,5,Faint,Abjuration,Craft Wondrous Item,Chill Metal + Mending + Resistance + Resist Energy,-,28,4,PC: Gods and Magic,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/resilient-ore,
"Resin, Sandsculpt",Slotless,"This sticky, amber-colored resin comes sandwiched between two sheets of vellum. When you coat your hands with the resin, you gain the ability to sculpt sand as per the stone shape spell, but you cannot create items with moving parts and must sculpt the shape by hand. One use of resin allows you to shape up to 15 cubic feet of sand, requiring 1 minute per cubic foot sculpted. Sand shapes that cannot support themselves naturally (such as arches or overhangs) collapse after 1 hour, but stable shapes like thick walls or mounds persist indefinitely, barring vandalism or erosion. Once applied to your hands, the resin’s power lasts until you have sculpted 15 cubic feet of sand or 1 hour has passed.",No,500 ,250 ,-,5,1,Faint,Transmutation,Craft Wondrous Item,Stone Shape,-,15,1,PC: Legacy of Fire (Player's Guide),http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/resin-sandsculpt,
Restless Lockpicks,Slotless,"This set of mithral masterwork thieves' tools springs to life in the hands of a skilled user. If the user attempts to use the tools to disarm a trap or other device, he may spend a standard action beginning the disarm attempt, after which the tools continue on their own without being held. Thereafter, the bearer may perform other actions or even move away while the tools work. The tools make a Disable Device using the bearer's skill bonus plus the +2 for being masterwork thieves' tools, taking the normal amount of time to disable the device. When the skill check is completed, the tools remain in place until removed from the device. The tools can animate for up to 10 rounds per day. They can take 10 but cannot take 20. If there aren't enough rounds left in the tools to finish a particular check, the bearer can continue where the animated tools left off as long as she is in the square with the tools when the animation duration runs out.",No,"8,000 ","4,000 ",-,3,1,Faint,Transmutation,Craft Wondrous Item,Knock + Mage Hand,-,18,2,PRG: Ultimate Equipment,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/restless-lockpicks,
Retriever Drone,Slotless,"A retriever drone appears as a masterfully preserved spider the size of a house cat, whose eyes have been replaced by four glittering gemstones. These devices are created by spellcasters who wish to control their own retrievers, since the secret of creating those monsters is beyond mortal capacity to understand. A retriever drone can be used to usurp control of a retriever that is within 30 feet. To take control of a retriever, the user of a retriever drone must have line of sight to the target and concentrate on it while holding the retriever drone in both hands. The target retriever can resist the attempt to take control by succeeding at a DC 16 Will save. If the retriever is currently on a mission to retrieve a target, it gains a +8 bonus on this save. If the retriever's saving throw is successful, the drone thrashes and scurries, making a single +15 bite attack (1d6+4 damage) against its carrier before becoming inert for 24 hours. If the retriever fails to resist, it falls under the control of the person who carried the drone—this control is permanent as long as the retriever drone exists and the person who activated the drone is chaotic evil. If the controller isn't chaotic evil, control granted lasts for only 24 hours. If the retriever controlled by a drone is destroyed, the drone itself crumbles to dust. As a full-round action while touching an active retriever drone, the user can look through the eyes of a controlled retriever and direct its actions. If the drone is destroyed while the user is linked in this manner, the user takes 1d4 points of Constitution damage (Fortitude DC 16 negates).",No,"8,000 ","4,000 ",-,15,5,Strong,Conjuration,Craft Construct + Craft Wondrous Item,Greater Planar Binding + Scrying,-,30,2,PAP 75: Demon's Heresy,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/retriever-drone,
Ring Gates,Slotless,"These always come in pairs—two iron rings, each about 18 inches in diameter. The rings must be on the same plane of existence and within 100 miles of each other to function. Whatever is put through one ring comes out the other, and up to 100 pounds of material can be transferred each day. (Objects only partially pushed through and then retracted do not count.) This useful device allows for instantaneous transport of items or messages, and even attacks. A character can reach through to grab things near the other ring, or even stab a weapon through if so desired. Alternatively, a character could stick his head through to look around. A spellcaster could even cast a spell through a ring gate. A Small character can make a DC 13 Escape Artist check to slip through. Creatures of Tiny, Diminutive, or Fine size can pass through easily. Each ring has an “entry side” and an “exit side,” both marked with appropriate symbols.",No,"40,000 ","20,000 ",-,17,1.2,Strong,Conjuration,Craft Wondrous Item,Gate,-,27,1,?,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/ring-gates,
Ring of the Cacodaemon,Ring,"Sculpted into the intricate form of a golden cacodaemon, this ring’s wide-open mouth is designed to hold a soul gem created by a cacodaemon. The ring allows its wearer to tap into the residual memories of the mangled soul it encapsulates. Once per day, the wearer may interrogate the soul in the gem, similar to using speak with dead, except the soul answers telepathically. Once per day, the bearer can project the soul’s last tormented moments before it was consumed and bound, creating a cone of terror equivalent to a fear spell (DC 16).",No,"15,000 ","7,500 ",-,8,0,Strong,Necromancy,Craft Wondrous Item,Fear + Speak With Dead,-,23,2,"PCS: Book of the Damned, Vol. 3 - Horsemen of the Apocalypse",http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/ring-of-the-cacodaemon,
Riverseer Plate,Slotless,"This disc of thick green glass is 12 inches in diameter and has a small, stylized image of a boat acid-etched into its center. When set against the deck of a waterborne vessel, the plate warns of nearby obstacles on or under the water, presenting them as glowing green silhouettes on the glass in relation to the boat etched on the plate's center. A riverseer plate warns of inanimate dangers within a 300-foot radius beyond the vessel in which it is set, providing a +6 competence bonus on sailing checks to navigate the vessel around potential dangers (see Ultimate Combat for the full rules on sailing checks). Once per day, a creature can apply a drop of blood to a riverseer plate's surface. For 5 minutes thereafter, the plate marks the location of Small or larger animate creatures in the water around the vessel, presenting them on the plate's surface as glowing red dots.",No,"5,000 ","2,500 ",-,5,0.5,Moderate,Divination,Craft Wondrous Item,Detect Animals or Plants + Riversight,-,20,2,PPC: People of the River,http://www.d20pfsrd.com/magic-items/wondrous-items/wondrous-items/r-z/riverseer-plate,
